Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",-107.460000,-110.725000,-90.000000,bottom
"SM3","SYM_Arrow45_Tiny","Symbol_kurzschlussblog",-113.250000,-103.750000,180.000000,bottom
